949.974200, 1250000, m, slave
950.726300, 1250000, m, master
4010.287700, 12500000, m, master
4009.516600, 12500000, m, slave
0.142700, 6250, m, master
0.269200, 6250, m, slave
2009.173200, 6250000, m, slave
2009.846100, 6250000, m, master
4974.318700, 13414400, m, master
4973.881600, 13406192, m, slave
4.916200, 125000, m, master
4.663600, 125000, m, slave
23.781700, 625000, m, slave
23.999600, 625000, m, master
0.095700, 125, m, master
0.115900, 125, m, slave
0.196800, 12500, m, master
0.370800, 12500, m, slave
0.097400, 625, m, master
0.066500, 625, m, slave
0.038900, 1250, m, master
0.186000, 1250, m, slave
3.492100, 62500, m, slave
3.368800, 62500, m, master
